"행정구역","2024년11월_전체","2024년11월_남자","2024년11월_여자","2024년11월_65세이상전체","2024년11월_65세이상남자","2024년11월_65세이상여자"
"전국  (1000000000)","51,226,757","25,504,176","25,722,581","10,199,204","4,525,062","5,674,142"
"서울특별시  (1100000000)","9,335,495","4,507,664","4,827,831","1,805,030","799,474","1,005,556"
"부산광역시  (2600000000)","3,268,993","1,591,231","1,677,762","776,647","339,862","436,785"
"대구광역시  (2700000000)","2,364,334","1,160,074","1,204,260","489,324","211,131","278,193"
"인천광역시  (2800000000)","3,018,589","1,508,189","1,510,400","529,782","237,318","292,464"
"광주광역시  (2900000000)","1,409,624","695,854","713,770","245,758","106,368","139,390"
"대전광역시  (3000000000)","1,439,687","717,664","722,023","257,544","114,595","142,949"
"울산광역시  (3100000000)","1,098,312","564,865","533,447","187,306","87,103","100,203"
"세종특별자치시  (3600000000)","390,603","194,407","196,196","45,043","20,355","24,688"
"경기도  (4100000000)","13,690,645","6,880,565","6,810,080","2,255,063","1,019,212","1,235,851"
"강원특별자치도  (5100000000)","1,518,700","763,577","755,123","382,956","171,331","211,625"
"충청북도  (4300000000)","1,591,100","809,697","781,403","347,501","155,906","191,595"
"충청남도  (4400000000)","2,136,632","1,096,190","1,040,442","473,078","210,900","262,178"
"전북특별자치도  (5200000000)","1,739,751","866,399","873,352","437,280","190,057","247,223"
"전라남도  (4600000000)","1,789,610","902,758","886,852","485,103","209,666","275,437"
"경상북도  (4700000000)","2,533,979","1,281,907","1,252,072","654,731","287,492","367,239"
"경상남도  (4800000000)","3,230,071","1,627,652","1,602,419","700,613","308,780","391,833"
"제주특별자치도  (5000000000)","670,632","335,483","335,149","126,445","55,512","70,933"
