article_id	event_name	region	organization	business	regions	시	군	구	동	article_ids	representative_article_body
0		['대전지', '대전광역시', '인천광역시']	['KB국민', '한국금융연구원', '독거노인종합지원센터', '하나', '금융소비자']	['하나은행', '우리금융', '국민은행', '신한']	['대전광역시', '인천광역시']	['대전광역시', '인천광역시']	[]	[]	[]	['02100051.20240321162100001']	“어르신, 여기 은행 또 없어졌대요”...은행권 ‘시니어 디지털 금융교육’ 나서  사진=이미지투데이 제공.      [대한경제=김봉정 기자] 최근 비대면 거래 확대로 은행 영업점 수가 크게 감소하면서 대면 위주로 금융거래를 해온 고령자들이 금융생활에 어려움을 겪자 은행들이 시니어 고객을 위한 디지털 금융교육에 앞장서고 있다.    20일 금융권에 따르면 국내 4대 시중은행(KB국민·신한·하나·우리) 영업점포 수는 지난해 말 기준 3년 만에 약 18%나 감소했다. 2020년 9월 기준 총 3406개였던 지점이 작년에는 2824개로 약 600개나 줄어들었다. 금융당국은 지난해부터 ‘점포 폐쇄 내실화 방안’을 발표하며 영업점 폐쇄를 막기 위해 노력 중이나 이달에도 우리은행 점포 10여 곳이 통폐합됐다.    이 같은 상황에서 은행권은 시니어 고객이 비대면 금융환경에 적응해 직접 영업점에 방문하지 않고도 금융거래를 할 수 있도록 지원하고 있다.    먼저, KB국민은행은 지난 18일부터 시니어금융교육협의회와 손잡고 ‘시니어 디지털 금융교육’을 실시했다. 고령층의 비대면 은행 업무 능력 향상과 금융사기 피해 예방에 초점을 맞춘 교육이다.    하나은행은 지난 17일 대전광역시 대전지점에 중장년 세대를 위한 융복합 문화·교육 공간 ‘하나 50+ 컬처뱅크’를 개점했다. 하나은행은 어른들의 금융학교라는 컨셉으로 시니어 디지털 교육 등의 서비스를 제공할 계획이다.    또한, 신한은행은 지난 6일 인천시 소재 금융소비자 교육센터인 ‘신한 학이재’에서 ‘디지털 금융교육 어시스턴트’ 발대식을 개최했다. 현재 이들은 지역의 디지털 금융 소외계층을 상대로 교육 활동을 펼치고 있다.    우리은행은 지난 2022년부터 ‘WOORI 어르신 IT 행복배움터’를 운영하고 있다. 우리은행이 독거노인종합지원센터와 함께 조성하고 있는 공간이며 모바일 금융거래, 정보 검색 등의 디지털 교육을 지원한다.    일각에서는 통폐합되는 점포 수에 비해 금융취약계층을 위한 교육 및 시설은 매우 미비한 수준이라는 지적도 나온다. 교육 시설이 일부 지역에 편중돼 있고 교육 빈도도 점포 수 감소를 따라가지 못해서다.    한 한국금융연구원 관계자는 이에 대해 “인구가 줄어든 만큼 비싼 인건비, 임대료 등으로 점포 수가 주는 것은 불가피한 일”이라며 “대신 은행들이 지점 통폐합 속도를 늦추고, 보완하는 측면에서 디지털 금융 교육 인프라를 더욱 고도화해야 할 것 같다”고 밝혔다.    은행권 관계자는 “향후 디지털 취약계층을 위한 새로운 교육 및 서비스 등을 계속 기획하고 있으며 점진적으로 늘려갈 예정”이며 “기업의 사회적 책임을 다하기 위해 노력할 것”이라고 전했다.    김봉정 기자 space02@    〈ⓒ 대한경제신문(www.dnews.co.kr), 무단전재 및 수집, 재배포금지〉
1		['인천영업부센', '대전지점', '광주지점', '남동구', '수원', '인천영업부센터', '학이재', '화곡동', '인천광역시']	['KB', '소비자보호부', '은행원', '노인복지관']	['하나은행', '우리금융', '국민은행', '신한']	['화곡동', '남동구', '인천광역시']	['인천광역시']	['강서구', '남동구']	[]	['화곡동']	['02100201.20240611164551001']	"지난달 28일 인천 남동구 신한은행 인천영업부센터 4층 신한 '학이재'는 시니어 수강생들의 학구열으로 가득했다. 인근 행정복지센터에서 10명 안팎의 시니어들이 디지털금융 교육을 받기 위해 모였다. /사진=이병권 기자 ""앱(애플리케이션) 써보니까 해볼 만하네요? 배운다는 마음가짐에 달렸나 봐요.""    지난달 28일 인천 남동구 신한은행 인천영업부센터 '학이재'에서 태블릿PC로 은행 앱 사용법을 배운 70대 여성 A씨는 ""반복해보니 어색했던 사용법이 익숙해졌다""며 ""날 더울 때 은행 나갈 필요 없겠다""고 미소를 지었다. 학이재에 모인 시니어 10여명은 서툰 손동작으로 화면에 뜬 버튼을 눌렀다. 처음에는 갈팡질팡하던 손가락 끝에서 이내 자신감이 묻어났다.      신한은행이 운영하는 '학이재'는 대표적인 시니어 디지털금융 교육센터다. 논어 학이편 제1장의 '배우고 때때로 익히면 즐겁지 아니한가'라는 문장 속 배움의 의미를 담아 이름 지었다. 점포가 줄면서 대면 거래가 익숙한 시니어들이 금융 생활에 어려움을 겪는다는 지적이 나오자 은행권은 디지털교육에 직접 나섰다.    시니어들도 새로운 배움에 적극적이다. 무인 금융기기 앞에서 서성대다가 주변 젊은이에게 묻거나 도움을 받는 민망함을 피할 수 있다. 인천영업부센터 '학이재'에는 영업점과 똑같은 비대면 화상 상담 창구·스마트 키오스크(STM)가 설치돼 있다. 번호표를 뽑는 것부터 비대면 거래로 카드발급을 받는 과정을 영업점처럼 구현했다.    실습을 위해 교육용 서버를 따로 구축할 정도로 공들였다. 강사 1명과 학이재 어시스턴트 1명, 대학생 홍보대사 5명 등이 시니어 곁에서 밀착 교육을 진행했다.      창구에서 AI은행원과 방문 목적을 묻고 대답하면 은행원이 화상 연결된다. 화상 연결된 행원이 화면에 모습을 드러내자 일부 시니어들은 손을 흔들며 '잘 들리느냐'고 인사를 주고받았다. /사진=이병권 기자 이날 무인기기를 통한 카드발급 실습도 진행됐다. 무인 화상 상담 창구에서 AI(인공지능) 은행원과 방문 목적을 묻고 대답하면 실제 은행원이 화상으로 연결된다. 연결된 은행원이 화면에 나타나자 일부 시니어들은 손을 흔들며 '잘 들리느냐'고 인사를 주고받기도 했다.    하지만 반가움은 잠시 스마트 키오스크를 통해 실물 카드를 발급 받아야하는 단계에 오자 시니어들은 서로 '먼저하라'고 순서를 미루기도 했다. 이때 학습을 보조하던 신한 대학생 홍보대사와 학이재 어시스턴트들이 나서 시범을 보였다. 시범을 눈여겨 본 시니어들은 모두 카드를 발급 받았다.    키오스크에서 발급 받은 카드를 손에 쥔 60대 남성 B씨는 ""밀어주고 끌어주니까 할 수 있었다""며 ""큰 아들도 이거 잘 모를텐데 내가 알려줘야겠다""며 뿌듯함을 나타냈다.    한쪽에선 태블릿PC를 활용해 보이스피싱 여부를 가려내는 실습이 진행됐다. 시니어들은 고개를 갸우뚱거리다가도 개인정보를 요구하는 등 확실한 징후가 나오면 바로 보이스피싱임을 알아챘다. 실습을 마친 70대 남성 C씨는 ""대뜸 돈을 입금하라거나 개인정보를 달라고 하면 일단 의심부터 하라고 배웠다""며 ""지인들한테도 주의를 꼭 당부할 것""이라고 말했다.    신한은행 소비자보호부 관계자는 ""폐점포를 활용할 방안을 구상하다가 사회 환원의 의미로 학이재가 탄생했다""며 ""체험하는 교육의 필요성이 높아지면서 오는 8월 수원에 추가로 열 예정""이라고 설명했다.    한쪽에선 태블릿PC를 활용한 교육이 한창이었다. 녹음된 통화를 들으면서 보이스피싱 여부를 가려내는 실습이다. 시니어들은 고개를 갸우뚱거리다가도 확실한 징후가 나오면 지체없이 보이스피싱이라고 확정했다. /사진=이병권 기자 교육뿐만 아니라 시니어 '특화점포'도 다양한 형태로 운영 중이다. 시니어의 접근성을 높이면서 지역민과의 상생을 확대하는 전략이다. KB국민은행은 대형 밴을 개조한 'KB시니어라운지'를 운영하면서 노인복지관 등을 직접 찾아가는 금융 서비스를 제공한다. 올해 인천까지 그 범위를 넓혔다.    최근엔 특화점포에 '휴게·문화 공간'을 만드는 게 트렌드다. 우리은행은 화곡동 지점에 사랑채와 우리마루 등 휴게공간을 마련했다. 인근에 전통시장이 있기 때문에 '소상공인 지원센터'도 운영한다. 경영컨설팅으로 노하우를 전수해주는 서비스를 제공할 계획이다.    하나은행 대전지점과 광주지점 등은 시니어를 위한 '컬처뱅크'로 꾸며졌다. 시니어들은 LP음반·카세트테이프 등이 설치된 '음악감상실'과 영화를 감상하는 '시네마룸'이 있어 취미·여가를 즐길 수 있다. 문화 공간으로서 교육·원데이클래스 등도 수시로 열린다.    하나은행 관계자는 ""은행업무만이 아니라 언제든 쉬고 싶을 때 와도 되는 공간으로 꾸몄다""며 ""시니어가 은행을 더 편하게 생각하도록 하는 게 중요해지면서 특화점포도 경쟁 요소가 됐다""고 말했다.    하나은행 대전지점의 컬처뱅크 내부 모습. 맞춤형 음악감상실 전경 /사진제공=하나은행 ""앱(애플리케이션) 써보니까 해볼 만하네요? 배운다는 마음가짐에 달렸나 봐요.""지난달 28일 인천 남동구 신한은행 인천영업부센터 '학이재'에서 태블릿PC로 은행 앱 사용법을 배운 70대 여성 A씨는 ""반복해보니 어색했던 사용법이 익숙해졌다""며 ""날 더울 때 은행 나갈 필요 없겠다""고 미소를 지었다. 학이재에 모인 시니어 10여명은 서툰 손동작으로 화면에 뜬 버튼을 눌렀다. 처음에는 갈팡질팡하던 손가락 끝에서 이내 자신감이 묻어났다.신한은행이 운영하는 '학이재'는 대표적인 시니어 디지털금융 교육센터다. 논어 학이편 제1장의 '배우고 때때로 익히면 즐겁지 아니한가'라는 문장 속 배움의 의미를 담아 이름 지었다. 점포가 줄면서 대면 거래가 익숙한 시니어들이 금융 생활에 어려움을 겪는다는 지적이 나오자 은행권은 디지털교육에 직접 나섰다.시니어들도 새로운 배움에 적극적이다. 무인 금융기기 앞에서 서성대다가 주변 젊은이에게 묻거나 도움을 받는 민망함을 피할 수 있다. 인천영업부센터 '학이재'에는 영업점과 똑같은 비대면 화상 상담 창구·스마트 키오스크(STM)가 설치돼 있다. 번호표를 뽑는 것부터 비대면 거래로 카드발급을 받는 과정을 영업점처럼 구현했다.실습을 위해 교육용 서버를 따로 구축할 정도로 공들였다. 강사 1명과 학이재 어시스턴트 1명, 대학생 홍보대사 5명 등이 시니어 곁에서 밀착 교육을 진행했다.이날 무인기기를 통한 카드발급 실습도 진행됐다. 무인 화상 상담 창구에서 AI(인공지능) 은행원과 방문 목적을 묻고 대답하면 실제 은행원이 화상으로 연결된다. 연결된 은행원이 화면에 나타나자 일부 시니어들은 손을 흔들며 '잘 들리느냐'고 인사를 주고받기도 했다.하지만 반가움은 잠시 스마트 키오스크를 통해 실물 카드를 발급 받아야하는 단계에 오자 시니어들은 서로 '먼저하라'고 순서를 미루기도 했다. 이때 학습을 보조하던 신한 대학생 홍보대사와 학이재 어시스턴트들이 나서 시범을 보였다. 시범을 눈여겨 본 시니어들은 모두 카드를 발급 받았다.키오스크에서 발급 받은 카드를 손에 쥔 60대 남성 B씨는 ""밀어주고 끌어주니까 할 수 있었다""며 ""큰 아들도 이거 잘 모를텐데 내가 알려줘야겠다""며 뿌듯함을 나타냈다.한쪽에선 태블릿PC를 활용해 보이스피싱 여부를 가려내는 실습이 진행됐다. 시니어들은 고개를 갸우뚱거리다가도 개인정보를 요구하는 등 확실한 징후가 나오면 바로 보이스피싱임을 알아챘다. 실습을 마친 70대 남성 C씨는 ""대뜸 돈을 입금하라거나 개인정보를 달라고 하면 일단 의심부터 하라고 배웠다""며 ""지인들한테도 주의를 꼭 당부할 것""이라고 말했다.신한은행 소비자보호부 관계자는 ""폐점포를 활용할 방안을 구상하다가 사회 환원의 의미로 학이재가 탄생했다""며 ""체험하는 교육의 필요성이 높아지면서 오는 8월 수원에 추가로 열 예정""이라고 설명했다.교육뿐만 아니라 시니어 '특화점포'도 다양한 형태로 운영 중이다. 시니어의 접근성을 높이면서 지역민과의 상생을 확대하는 전략이다. KB국민은행은 대형 밴을 개조한 'KB시니어라운지'를 운영하면서 노인복지관 등을 직접 찾아가는 금융 서비스를 제공한다. 올해 인천까지 그 범위를 넓혔다.최근엔 특화점포에 '휴게·문화 공간'을 만드는 게 트렌드다. 우리은행은 화곡동 지점에 사랑채와 우리마루 등 휴게공간을 마련했다. 인근에 전통시장이 있기 때문에 '소상공인 지원센터'도 운영한다. 경영컨설팅으로 노하우를 전수해주는 서비스를 제공할 계획이다.하나은행 대전지점과 광주지점 등은 시니어를 위한 '컬처뱅크'로 꾸며졌다. 시니어들은 LP음반·카세트테이프 등이 설치된 '음악감상실'과 영화를 감상하는 '시네마룸'이 있어 취미·여가를 즐길 수 있다. 문화 공간으로서 교육·원데이클래스 등도 수시로 열린다.하나은행 관계자는 ""은행업무만이 아니라 언제든 쉬고 싶을 때 와도 되는 공간으로 꾸몄다""며 ""시니어가 은행을 더 편하게 생각하도록 하는 게 중요해지면서 특화점포도 경쟁 요소가 됐다""고 말했다.      <저작권자 © ‘돈이 보이는 리얼타임 뉴스’ 머니투데이. 무단전재 및 재배포, AI학습 이용 금지> 공감 0%  비공감 0%"
10	디지털동행플라자 서남센터	['영등포구', '서울디지털동행플라자', '경기도', '서울특별시']	['서울디지털동행플라자', '서남센터']	[]	['영등포구', '서울특별시', '경기도']	['서울특별시', '경기도']	['영등포구']	[]	[]	['01100201.20240506104410001']	서울디지털동행플라자는 기술 발전에 따른 정보 격차를 해소하기 위해, 어르신들이 언제든 방문하여 스마트폰·키오스크 등 다양한 디지털기기를 무료로 체험하고 교육과 상담을 받으면서 여가도 즐길 수 있는 공간이다.  대체공휴일을 맞은 6일 서울 영등포구 서울디지털동행플라자 서남센터에서 어르신 이용객들이 AI 바둑·오목 로봇과 경기하고 있다.윤웅 기자 yoonyep@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr) , 무단전재, 수집, 재배포 및 AI학습 이용 금지
100		['서울특별시', '키오스크']	[]	[]	['서울특별시']	['서울특별시']	[]	[]	[]	['08100401.20220528063401001']	"AD  [앵커]  코로나로 인해 비대면 서비스가 많아지다 보니 카페나 식당, 영화관에 가면 키오스크 주문 기기를 흔하게 만나게 됩니다.    하지만 어르신들은 키오스크 앞에서 쩔쩔매다가 빈손으로 가는 경우도 많은데 지자체가 키오스크 이용 교육에 나섰습니다.    차유정 기자가 보도합니다.    [기자]  72살 이영남 씨는 무인 단말기인 키오스크 사용법을 배우러 왔습니다.    ""실버들 할인은 어떻게 받나요?""  ""선택하실 때 장애 우대 경로 이런 항목이 있어요.""    얼마 전 영화관에서 키오스크로 예매하려고 했다가 쩔쩔맸던 경험이 있었기 때문입니다.    [이영남 / 72세 : 티켓을 뽑을 때 65세 이상 된 사람은 할인을 받아야 하는데 어떻게 받는 건지 잘 모르기 때문에 항상 옆에 계신 젊은 분들 도움을 받아야 해서….]    최근 조사 결과, 만 55세 이상 서울시민 가운데 키오스크를 아예 써 본 적 없다는 비율이 절반에 달합니다.    가장 큰 이유는 사용법을 모르거나 어렵기 때문으로 나타났습니다.    뒷사람 눈치가 보여서 그렇단 응답도 적지 않았습니다.    하지만 비대면 주문이 워낙 급증하는 추세이다 보니 어르신들 사이에서도 사용법을 배우려는 열기가 높습니다.    [임경희 / 77살 : 요즘 젊은이들은 (키오스크 이용해) 자전거도 잘 이용하더라고요. 그런 거나 무인 보관함 같은 거 쓰고 싶을 때 그런 거 답답한 거 배우려고….]    이런 수요에 맞춰 교육도 확대 추세입니다.    최근엔 코로나 완화로 오프라인 교육도 늘고 있습니다.    지난달 서울 시내에서 키오스크를 배울 수 있는 공간이 3곳 개설됐는데 시는 이런 교육을 다음 달까지 25개 자치구로 늘릴 계획입니다.    누구나 인터넷 홈페이지나 전화로 신청할 수 있습니다.    지금까지 복지관 등에서만 신청이 가능했던 일대일 맞춤 교육도 확대돼, 다음 달부터는 개별 신청도 가능해집니다.    전문가들은 아예 키오스크 설계 단계에서부터 글자를 크게 하는 등 어르신 세대가 겪는 디지털 소외현상에 대한 배려가 필요하다고 강조합니다.    YTN 차유정입니다.      YTN 차유정 (chayj@ytn.co.kr)    ※ '당신의 제보가 뉴스가 됩니다'  [카카오톡] YTN 검색해 채널 추가  [전화] 02-398-8585  [메일] social@ytn.co.kr    [저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]  "
101		['안산', '주공', '월피동', '시 상록구', '안산시', '경기도', '노성우', '상록구청', '상록구']	['에듀버스', '상록구', '정부']	[]	['경기도', '상록구', '안산시', '월피동']	['경기도']	['안산시']	['상록구']	['상록구', '월피동']	['01200401.20220630101809004', '07100502.20220630140614001', '01100751.20220630103910001', '01200401.20220715171937002']	▲ 안산시 상록구 일동 행정복지센터 어르신 무료 정보화 교육. /사진제공=안산시  안산시 상록구는 다음 달 4일부터 연말까지 코로나19로 가속하는 디지털 시대를 맞아 지역 내 어르신을 대상으로 무료 정보화 교육을 진행한다.  교육은 ▲컴퓨터 첫걸음 ▲스마트폰 기초 ▲컴퓨터 활용 ▲키오스크 체험 등 컴퓨터 기초 및 활용뿐만 아니라, 최근 식당 등에서 사용이 증가하고 있는 키오스크(무인시스템) 사용방법, 스마트폰 활용법 강의를 통해 어르신들이 일상생활에서 느낄 수 있는 디지털 문제 해결에 도움을 주기 위해 마련됐다.  수강을 원하는 사람은 집에서 가까운 동 주민자치센터에 신청하면 원하는 교육 받을 수 있다.  박양복 상록구청장은 “디지털 시대에 어르신들이 정보화 교육 및 디지털 체험기회를 통해 자신감 있고 활기찬 노후생활을 즐길 수 있도록 적극적으로 도울 것”이라며 “디지털 환경에서 어르신을 비롯한 정보 취약계층이 소외되는 일이 없도록 디지털 교육사업을 더욱 적극적으로 확대해 나갈 것”이라고 밝혔다.  /안산=안병선 기자 bsan@incheonilbo.com
102		['서대문구']	[]	[]	['서대문구']	['서울특별시']	['서대문구']	[]	[]	['02100801.20220730114904001']	서대문구 '경로당 디지털 튜터 사업' 만족도 높아 ...참여 노인의 93% '스마트폰 사용에 자신감 생겼다'며 호평... 키오스크 실습' 포함한 10회 과정 교육 통해 노년층 삶의 질 높여...올 상반기 10명 디지털 튜터가 노인 103명 교육.. 8월부터 확대  [아시아경제 박종일 기자] 서대문구(구청장 이성헌)가 노년층 삶의 질 향상을 위해 실시한 ‘경로당 디지털 튜터 사업’에 대해 교육 대상 노인들의 만족도가 높은 것으로 나타났다.  구는 올 상반기 교육을 받은 22개 경로당 103명에 대해 설문조사를 한 결과 93%가 “스마트폰 교실에 참여해 바라던 만큼 실력이 늘었다”는 답을 했다고 밝혔다.  이 같은 호응은 경로당별 전담 튜터를 배치해 노인들과의 친밀도를 높이고 질의응답식 눈높이 교육으로 수업 부담을 던 데 따른 것으로 보인다.  교육은 1:1 맞춤형으로 이뤄졌다. 이를 위해 10명의 디지털 튜터가 주 2~3회씩 자신이 맡은 경로당을 방문했다.  이들은 스마트폰 활용과 무인 단말기(키오스크) 이용 실습 등 내용으로 2시간씩 10회 과정의 교육을 진행했다.  노인들은 “앱을 통해 택시 부르는 법을 확실히 배웠다” “현장 실습으로 키오스크 사용에 대한 두려움이 사라졌다” “스마트폰 사용법을 쉽게 가르쳐 주어 나도 할 수 있다는 자신감을 얻었다”는 등의 긍정적인 반응을 나타내 보였다.      박종일 기자 dream@asiae.co.kr    AD    <ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>
103	울산광역시 찾아가는 디지털 역량 강화 교육	['울산광역시', '상북', '울주군', '키오스크', '상북분회', '구군']	['울산광역시']	[]	['울산광역시', '울주군']	['울산광역시']	['울주군']	[]	[]	['07100502.20220817161330001', '02100501.20220817095532001', '01501301.20220817233109001', '02100101.20220817133010001', '08100101.20220819235021001']	스마트폰 기초활용법, 보이스피싱 대응법도 교육  울산시 오는 11월까지 지역 경로당 60곳 방문 교육  【파이낸셜뉴스 울산=최수상 기자】 울산시는 오는 11월까지 어르신들의 정보 격차 해소를 위해 ‘찾아가는 디지털 역량 강화 교육’을 실시한다고 17일 밝혔다.이번 교육은 최근 음식점과 카페, 영화관, 역·터미널 등에 무인주문기(키오스크)를 통한 비대면 서비스가 늘어남에 따라 키오스크 사용에 어려움을 느끼는 노인들을 위해 마련됐다.울주군 상북분회 경로당을 시작으로 오는 11월까지 경로당 60곳을 선정해 매주 화요일 마다 찾아가는 디지털 역량강화 교육으로 진행된다.교육은 맞춤형 키오스크를 통해 일생 생활에서 자주 사용되는 무인민원발급, 은행, 카페, 음식점 이용 등 다양한 상황별 이용 방법 교육과 스마트폰 기초활용법, 보이스피싱 대응법 등을 다룬다.울산시 관계자는 “이번 교육을 통해 어르신들이 디지털 서비스를 쉽게 이용하여 일상생활 만족도가 높아지기 바란다”며 “아울러 지속적인 교육을 통하여 세대 간 디지털 격차 해소를 위해 최선을 다하겠다”라고 말했다.한편 디지털 역량강화 교육은 지난 2020년부터 시민들의 디지털 격차 해소를 위해 추진해 오고 있는 사업이다. 구군 행정복지센터, 도서관, 복지관 등 디지털 배움터 18곳 등을 활용해 올해 5월부터 매월 1400여 명의 교육생을 수시 모집해 무료교육을 진행하고 있다.디지털 배움터 교육 신청 등 자세한 정보는 디지털배움터 누리집 또는 콜센터에서 확인할 수 있다.  ※ 저작권자 ⓒ 파이낸셜뉴스, 무단전재-재배포 금지
104	안산시 미디어라이브러리 시니어를 위한 키오스크 스마트폰 디지털 활용 교육	['경기도', '안산시']	['안산시안산시 미디어라이브러리', '미디어라이브러리']	[]	['경기도', '안산시']	['경기도']	['안산시']	[]	[]	['01200401.20230804113446002', '04100158.20230804104028001']	▲ 시니어를 위한 디지털 활용 교육 안내 포스터. /자료제공=안산시  안산시 미디어라이브러리는 스마트폰이나 키오스크 등 디지털 사용에 어려움을 겪는 60세 이상 시민을 대상으로 ‘시니어를 위한 디지털 활용 교육’ 프로그램을 운영한다고 4일 밝혔다.  프로그램은 9월12일부터 11월7일까지 매주 화요일 총 8회 진행하며 ▲스마트폰으로 도서관 전자책 이용법 ▲건강 관리 앱 사용법 ▲온라인 쇼핑 및 배달 앱 사용법 ▲스마트폰으로 은행업무 보기 ▲길 찾기 앱 활용법 ▲키오스크 사용법 등 어르신들이 실제 생활에 유용한 내용으로 구성했다.  교육신청은 이달 23일부터 안산시 미디어라이브러리 누리집(홈페이지)이나 전화(031-481-3890)로 선착순 15명까지 가능하다.  김미정 중앙도서관장은 “어르신들이 정보격차로 인한 소외감을 느끼지 않도록 실생활에서 곧장 활용 가능한 디지털 교육을 지속 마련해 운영하겠다”고 말했다.  /안산=안병선 기자 bsan@incheonilbo.com
105		['만덕2동', '북구', '부산광역시']	['만덕2동']	[]	['북구', '부산광역시']	['경상북도', '부산광역시']	['포항시', '북구']	['북구']	['북구']	['01500701.20220330145950001']	부산 북구 만덕2동 행정복지센터(동장 하춘자)는 고령자를 비롯한 디지털 소외계층의 정보격차를 해소하고자 오는 10월까지 ‘키오스크 체험 교육 프로그램’을 운영한다고 30일 밝혔다.  만덕2동은 체험을 원하는 지역 주민 누구나 키오스크 사용교육을 받을 수 있도록 교육용 키오스크를 동행정복지센터에 설치하였다.  체험자는 교육용 키오스크로 ▵음식·음료 주문 ▵기차·버스표 예매 ▵무인 민원서류 발급 등의 사용법을 익히고 교육용 카드로 결제까지 체험해볼 수 있다.  만덕2동은 디지털 취약계층으로 키오스크 사용을 어려워하는 장노년층을 대상으로 월1회 정기적인 교육 뿐만 아니라 관내 경로당 등을 찾아가 어르신들을 대상으로 ‘찾아가는 키오스크 사용법 교육’을 실시할 예정이다.  또한, 고독사 위험이 높은 중장년층 1인 가구를 대상으로 키오스크 사용 교육과 함께 영화관, 카페, 병원 등에서 직접 체험해볼 수 있도록 체험활동을 병행하여 1인가구의 고립감을 해소할 계획이다.  하춘자 동장은 “코로나19의 장기화로 인해 생활 전반에 무인시스템이 급격하게 보급되어 장노년층이 어려움을 겪는 경우가 많아졌다”면서 “키오스크를 접하고 당황한 경험이 있는 주민이라면 언제든지 동 행정복지센터에서 체험에 참여해보시길 바란다”고 말했다.  김예빈 부산닷컴 기자 kyb8557@busan.com
106		['만덕2동', '북구', '부산광역시']	['중리', '지역사회보장협의체']	[]	['북구', '부산광역시']	['경상북도', '부산광역시']	['포항시', '북구']	['북구']	['북구']	['01500701.20220520134104001']	부산 북구 만덕2동 행정복지센터(동장 하춘자)는 지난 19일 동 지역사회보장협의체(민간위원장 이은숙)가 중리경로당을 찾아가 어르신들을 대상으로 ‘찾아가는 키오스크 사용법 교육’을 실시했다고 밝혔다.  이번 교육은 정보취약계층인 어르신들에게 교육용 키오스크를 활용하여 사용법을 안내하는 등 디지털 정보격차를 해소하기 위해 추진되었다.  교육에서는 만덕2동 지역사회보장협의체 위원들이 ▵음식 주문 ▵병원 진료 접수 ▵기차표 예매 ▵주민등록등본 발급 등 생활에서 자주 접하는 무인시스템을 중심으로 어르신들과 1:1 맞춤형 교육을 진행하였다.  이은숙 위원장은 “어르신들이 이번 교육을 통해 키오스크 사용에 어려움을 겪지 않길 바란다”면서 “앞으로도 함께 어울려 살아가는 따뜻한 마을공동체를 조성하기 위해 다양한 활동을 펼치겠다”고 말했다.  강신애 부산닷컴 기자 sens0126@busan.com
