event_id	이름	지역	기관	기업	튜터	인원 수	대상	목적	장소	교육 방식	교육 형태	시간	횟수	주차	내용
0.0	시니어 디지털 금융교육		시니어금융교육협의회	KB국민은행			시니어 고객 (고령층)	비대면 은행 업무 능력 향상 및 금융사기 피해 예방							비대면 은행 업무, 금융사기 예방
0.0	시니어 디지털 교육	대전광역시	하나 50+ 컬처뱅크	하나은행			시니어 고객 (중장년 세대)	시니어 고객의 디지털 금융 이용 역량 강화	하나 50+ 컬처뱅크						디지털 금융
0.0	디지털 금융교육	인천시	신한 학이재	신한은행	디지털 금융교육 어시스턴트		지역 디지털 금융 소외계층	디지털 금융 소외계층의 금융 접근성 향상	신한 학이재						디지털 금융
0.0	WOORI 어르신 IT 행복배움터			우리은행			독거노인	모바일 금융거래 및 정보 검색 능력 향상	독거노인종합지원센터						모바일 금융거래, 정보 검색
1.0	시니어 디지털금융 교육	인천광역시 남동구	신한은행 인천영업부센터 '학이재'	신한은행	강사 1명, 학이재 어시스턴트 1명, 대학생 홍보대사 5명	10명	시니어	디지털 금융 이용 편의 증진	신한은행 인천영업부센터 '학이재'	오프라인	그룹	불명	불명	불명	태블릿PC를 활용한 은행 앱 사용법, 무인 금융기기(ATM, 키오스크) 이용 방법, 보이스피싱 예방 교육 등
1.0	금융 서비스 제공	인천광역시	노인복지관 등	KB국민은행	불명	불명	시니어	금융 서비스 접근성 향상	노인복지관 등 (KB시니어라운지 이동 서비스)	오프라인	불명	불명	불명	불명	불명
1.0	소상공인 지원	서울특별시 강서구	우리은행 화곡동 지점	우리은행	불명	불명	소상공인	경영 컨설팅	우리은행 화곡동 지점	오프라인	불명	불명	불명	불명	경영 컨설팅
1.0	교육·원데이클래스	대전광역시, 광주광역시	하나은행 대전지점, 광주지점	하나은행	불명	불명	시니어	취미·여가 활동 지원	하나은행 대전지점, 광주지점 (컬처뱅크)	오프라인	불명	불명	불명	불명	다양한 교육 및 원데이클래스
2.0															
3.0	키오스크와 앱 활용 교육	대구광역시 중구	중구청	없음	미상	미상(하지만 지난달 교육의 뜨거운 호응으로 인해 6회로 확대 시행)	어르신	디지털 기기에 대한 거부감 완화 및 친숙도 향상	대구 중구청 정보화교육장	오프라인	그룹	4시간	1회	5주	키오스크, 태블릿 PC 사용법(영화관, 패스트푸드점 메뉴 선택, 취소, 포인트 적립, 결제 등), 택시 호출, KTX 열차 구매, 민원 발급 등
4.0															
5.0	어르신 맞춤형 스마트폰 활용 교육	서울특별시, 시, 구	서울시	삼성전자판매	기사에 명시되지 않음	기사에 명시되지 않음 (현장 교육)	만 65세 이상 서울시민	스마트폰 기초 사용법 교육	삼성디지털프라자(서울지역 34개소)	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	스마트폰 기초 사용법
